API,API,
About,关于,
Access denied,拒绝访问,
Action,操作,
Action to perform when clicking the button. The doc will be available as `this`,单击按钮时要执行的操作。 该文档将以“this”的形式提供,
Add Weekly Holidays,添加每周休息日,
Add to Holidays,添加至假期,
Agent,代理,
Agent Group,代理组,
Agent Name,代理名称,
Agent {0} does not belong to team {1},代理 {0} 不属于团队 {1},
All,全部,
Allow Resetting SLA,允许重置 SLA,
Apply SLA for Resolution Time,SLA要求解决时间,
Archived,已存档,
Article,文章,
Assign to,分配给,
Assigned To,创建代办,
Assignment,分派,
Assignment Conditions,分派条件,
Assignment Rule,分派规则,
Assignment Rule for HD Team {0} does not exist,HD团队 {0} 的分配规则不存在,
Assignment Rules,分派规则,
"At-least one of priority, team and ticket type is required",至少需要优先级、团队和工单类型之一,
Attachment,附件,
Authentication failed,认证失败,
Author,作者,
Average Response Time,平均响应时间,
Base Support Rotation,基础服务轮班,
Base URL,根URL,
Based On,基于,
"Based on your HR Policy, select your leave allocation period's end date",根据您的人力资源政策，选择休假分配期的结束日期,
"Based on your HR Policy, select your leave allocation period's start date",根据您的人力资源政策，选择休假分配期的开始日期,
Branding,品牌推广,
Button,按钮,
Can not send email. No sender email set up!,无法发送电子邮件。 没有设置发件人电子邮件！,
Cancel,取消,
Category,类别,
Clear Table,清除表格,
Click on Add to Holidays. This will populate the holidays table with all the dates that fall on the selected weekly off. Repeat the process for populating the dates for all your weekly holidays,单击添加到假期。 这将使用选定的每周休息日内的所有日期填充假期表。 重复填充所有每周假期日期的过程,
Closed,已关闭,
Closed or rated tickets cannot be updated by non-agents,非代理无法更新已关闭或已评级的工单,
Color,颜色,
Comment,评论,
Commented By,评论者,
Condition,条件,
Contact,联系人,
Contact HTML,联系HTML,
Contact with us,与我们联系,
Contacts,联系人,
Content,内容,
Content Type,内容类型,
Criterion,标准,
Customer,客户,
Customer Name,客户名称,
Date,日期,
Default Priority,默认优先级,
Default SLA,默认服务等级协议,
Default priority,默认优先级,
Default template can not be deleted,默认模板无法删除,
Default ticket type,默认工单类型,
Description,描述,
Details,详细信息,
Do not apply filters and restrictions to agents of this team,请勿对该团队的代理应用过滤器和限制,
Do not restrict tickets without a Team,不限制没有团队的工单,
DocType,DocType,
Documentation,用户操作手册,
Domain,行业,
Draft,草稿,
Email,邮箱,
Email Account,电子邮箱帐号,
Enabled,已启用,
End Date,结束日期,
End Time,结束时间,
Enter a name for this HD Service Holiday List.,输入此 HD服务假期列表的名称。,
Escalation rule already exists for this criteria,此条件的升级规则已存在,
External link,外部链接,
Failed,失败,
FeatherIcon,羽毛图标,
Feedback,反馈,
Feedback (Extra),反馈（额外）,
Feedback (Option),反馈（选项）,
Feedback (Text),反馈（文字）,
Field (fieldname),字段（字段名）,
Field Name,字段名称,
Field `{0}` does not exist in Ticket,工单中不存在字段“{0}”,
Fields,字段,
Filter Type,过滤器类型,
Filters,过滤条件,
First Responded On,首次回复时间,
First Response Due,第一响应到期,
First Response Time,第一次响应时间,
First Response Time for Tickets,工单第一响应时间,
Frappe School,Frappe学校,
Frappe Support,Frappe支持,
Friday,星期五,
From,从,
From Date,开始日期,
Fulfilled,已履行,
Global,全球的,
Groups,组,
Guest,访客,
HD Action,HD动作,
HD Agent,HD代理,
HD Article,HD文章,
HD Article Category,HD文章分类,
HD Article Feedback,HD文章反馈,
HD Article Item,HD文章项目,
HD Article Sub Category Item,HD文章子类别项目,
HD Canned Response,HD预设回复,
HD Customer,HD客户,
HD Desk Account Request,HD桌面帐户请求,
HD Escalation Rule,HD升级规则,
HD Holiday,HD假期,
HD Notification,HD通知,
HD Organization,HD组织,
HD Organization Contact Item,HD组织联系方式,
HD Pause Service Level Agreement On Status,HD暂停SLA状态,
HD Portal Signup Request,HD门户注册请求,
HD Preset Filter,HD预设滤镜,
HD Preset Filter Item,HD预设滤镜项目,
HD Service Day,HD服务日,
HD Service Holiday List,HD服务假期清单,
HD Service Level Agreement,HD服务等级协议,
HD Service Level Agreement Fulfilled On Status,HD服务级别协议已履行状态,
HD Service Level Priority,HD服务等级优先,
HD Settings,HD设置,
HD Support Search Source,HD支持搜索源,
